"fid4","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"264",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1627",0.137653769376221,0.00150475086675009,0.0439254711806179,0.139396440476259,0.450520754675912,0.334660689575829,0.108662672930515,0.062726283422563,0.108225840628742,0.0357065015297245,0.0769022562619149,6.34309981123323,1.1448906378811,0.158079477180913
"1628",0.0321814131704749,0.0261525941907926,0.638083958250613,1.58482717012425,2.74066723298139,3.56614153552254,0.857092939373472,0.668410756476002,1.17625431143181,0.395173858458413,0.858404446214596,27.5387911775126,12.7795888151765,1.76452724098522
"1629",0.0446945657352941,0.000452129573260327,0.0116971587766331,0.0474879163740372,0.246857577053401,0.109218871149853,0.0704259437064925,0.020471164018461,0.0357883984402553,0.011946161022619,0.0258886568698374,3.9486311506238,0.38542017254534,0.0532164534803995
"1630",0.0068169198367202,0.00855602766478155,0.249760644711659,0.725476969638087,0.8872024404082,1.74171321807758,0.205348171120352,0.32645363008255,0.563252222421322,0.185831463397906,0.400231280229337,5.31972697858431,5.95848636951717,0.822711251990069
"1631",0.254125565410438,0.000225891276338372,0.00659403557625731,0.0500038746704867,0.405435294938132,0.120048482741125,0.103749711219897,0.0225009849899393,0.0388224502176536,0.0128085295529334,0.0275861476151062,6.90806869371789,0.410691749175407,0.0567057977802288
"1632",0.790351738215403,0.00560279094619117,0.1366996710963,0.409918818387055,1.2634288665116,0.922389868119054,0.437762986390325,0.172885821657361,0.304240605256033,0.102212534067059,0.22202808162539,17.6594081512933,3.30546702210998,0.456398612587973
"1633",0.23573773668009,0.00164619944358569,0.0413526541171389,0.163820058741047,0.680680904257571,0.372695437450041,0.211337911975229,0.0698552305901774,0.122525156311644,0.0410286993151713,0.0890241757604414,10.3857205054916,1.32535702237501,0.182997168675294
"1634",0.833670265426814,0.00159345741088318,0.0356966835007063,0.0688443348533807,0.63372040999503,0.14978155963627,0.281042977144658,0.0280739293674627,0.0499002646870136,0.0169424092786464,0.036895911041218,10.9888390070683,0.549291856708557,0.0758428505354231
"1635",0.208820924829009,0.000670738233774081,0.0201925530939564,0.0890078608074092,0.388147645410942,0.215982352895236,0.0928428751462137,0.0404821083084181,0.0696133030708534,0.0229054962734681,0.0492410964083978,5.9527455085381,0.733082135912507,0.101219485024517
