"fid4","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0,0,0,0,0,0
"71",0,0,0,0,0,0
"72",0,0,0,0,0,0
"73",0,0,0,0,0,0
"74",0,0,0,0,0,0
"263",0,0,0,0,0,0
"264",0,0,0,0,0,0
"265",0,0,0,0,0,0
"1627",0.00376651397517953,0.000367802045788731,0.0109088783351547,0.0149523409676362,0.0197607317642605,0.00234127424707782
"1628",0.00859961297259776,0.00100999414177984,0.0165736144445337,0.0281252309194344,0.0375812558417987,0.00561492309211168
"1629",0.00733981830848762,0.000831463847446917,0.023975885301342,0.0249028434910931,0.0318305940189178,0.00474761684621304
"1630",0.00316057620594561,0.0002971066997632,0.0058714126986031,0.0130842165141535,0.0186822590798326,0.00194415409452376
"1631",0.00376651397517952,0.000367802045788732,0.0167589978065032,0.0149523409676363,0.0193046683536244,0.00234127424707783
"1632",0.0135648158004046,0.00177077699718222,0.0315897772387101,0.0399612308100381,0.0509506525048753,0.0090965009865981
"1633",0.0100427515171602,0.00122232879293798,0.0290551838750747,0.0316913395844193,0.040372904073706,0.00661742171063671
"1634",0.0156905007173447,0.00211982410835169,0.0432726008067635,0.0447196847941406,0.0553358657300395,0.0106107880594499
"1635",0.00376651397517952,0.00036780204578873,0.013221758704733,0.0149523409676363,0.0195620374230603,0.00234127424707782
"1636",0.00624386289528032,0.000681942973391904,0.0143928086349918,0.021998526239259,0.0306034952210725,0.00400007621218707
"1637",0.00859961297259775,0.00100999414177984,0.022484453695082,0.0281252309194344,0.0360108660073628,0.00561492309211164
"1638",0.00447300450130097,0.00045357169734216,0.0165339944798413,0.0170463535853415,0.0221517716626643,0.00280913236181266
"1639",0.00447300450130095,0.000453571697342162,0.0137882966326578,0.0170463535853415,0.0220082068484976,0.00280913236181265
"1640",0.00624386289528032,0.000681942973391901,0.0188131895539132,0.021998526239259,0.0283084593747858,0.00400007621218706
"1641",0.00376651397517952,0.000367802045788732,0.00957313589234894,0.0149523409676363,0.0197056115648383,0.00234127424707783
"1642",0.00529376076769268,0.000557211173029712,0.0146251181538648,0.0193875781168323,0.0247945277257918,0.00335819330509945
"1643",0.0135648158004046,0.00177077699718222,0.0282568382756271,0.0399612308100381,0.0499082505804651,0.00909650098659811
"1644",0.00447300450130096,0.000453571697342162,0.0175571249414986,0.0170463535853415,0.022058646758291,0.00280913236181265
"1645",0.00859961297259775,0.00100999414177984,0.0205881935242888,0.0281252309194345,0.0366365540055036,0.00561492309211164
"1646",0.0100427515171602,0.00122232879293799,0.0325688373272173,0.0316913395844194,0.0400347211819482,0.00661742171063673
"1647",0.0135648158004046,0.00177077699718222,0.0359961377110412,0.0399612308100379,0.0507876326697302,0.0090965009865981
"1648",0.00733981830848763,0.000831463847446918,0.023694271195422,0.024902843491093,0.0329196509356729,0.00474761684621303
"1649",0.0156905007173448,0.00211982410835169,0.0414182004511163,0.0447196847941406,0.055677970261711,0.0106107880594499
"1650",0.0180930096601274,0.00252864648848715,0.0378022307795169,0.0499307642681526,0.0626036400523771,0.0123356802756977
