"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"PL","Poland","PL","POL","PL","PL51","Dolnośląskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL71","Łódzkie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL72","Świętokrzyskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL81","Lubelskie",0.0405932106964192,0.000290532715222205,0.109268643826896,0.15251379804819,1.54484981579513,0.0175556928109307
"PL","Poland","PL","POL","PL","PL82","Podkarpackie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL84","Podlaskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL91","Warszawski stołeczny",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL92","Mazowiecki regionalny",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL62","Warmińsko-mazurskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL63","Pomorskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL52","Opolskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL61","Kujawsko-pomorskie",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT11","Norte",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT15","Algarve",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT30","Região Autónoma da Madeira",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT16","Centro (PT)",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT17","Área Metropolitana de Lisboa",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT18","Alentejo",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT20","Região Autónoma dos Açores",0,0,0,0,0,0
"RO","Romania","RO","ROU","RO","RO11","Nord-Vest",6.34854664697822,0.636765222991549,70.9483939549705,46.4503640920413,831.377239088689,4.45448567372385
"RO","Romania","RO","ROU","RO","RO12","Centru",179.450193670526,37.9157781134004,1144.31687525119,439.509989657066,7245.11019118112,122.860649511252
"RO","Romania","RO","ROU","RO","RO21","Nord-Est",770.17598296592,83.3407258775954,2437.53490344795,1182.95500959649,18156.0255855425,370.654298416313
"RO","Romania","RO","ROU","RO","RO22","Sud-Est",1058.65839037237,104.734490323367,2546.96489771106,933.738813026191,14711.4563441861,338.231227899336
"RO","Romania","RO","ROU","RO","RO31","Sud-Muntenia",906.535665750052,158.811040590249,3485.94148082354,984.769537829206,15951.2855141025,382.305255387733
"RO","Romania","RO","ROU","RO","RO32","Bucureşti-Ilfov",188.926106925943,128.526172241631,4970.00347039675,2969.8246318301,45573.2060021959,750.108698289628
"RO","Romania","RO","ROU","RO","RO41","Sud-Vest Oltenia",39.4572520912278,2.42138260023993,143.356976722524,72.0255299501848,1292.35567151645,11.4860597395872
"RO","Romania","RO","ROU","RO","RO42","Vest",1.60438222322962,0.0938727940959879,13.9501896126526,9.21585531564924,171.73440253082,0.685192290046796
"SE","Sweden","SE","SWE","SE","SE11","Stockholm",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE12","Östra Mellansverige",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE21","Småland med öarna",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE22","Sydsverige",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE23","Västsverige",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE31","Norra Mellansverige",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE32","Mellersta Norrland",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE33","Övre Norrland",0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI","SI03","Vzhodna Slovenija",0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI","SI04","Zahodna Slovenija",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK","SK01","Bratislavský kraj",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK","SK02","Západné Slovensko",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK","SK03","Stredné Slovensko",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK","SK04","Východné Slovensko",0.0145704908197498,0.00060982633756097,0.247341268424573,0.438498872392996,4.44789625201411,0.0126922486250009
"TR","Turkey","TR","TUR","TR","TR10","İstanbul",0.135980972118591,0.0170332846899101,7.70705471896447,3.00486214773894,166.873807347969,0.785389575536015
"TR","Turkey","TR","TUR","TR","TR21","Tekirdağ, Edirne, Kırklareli",1.62975880318562,0.0258688245273134,8.44709566512292,3.30171937182802,180.010122520157,1.16219839024522
"TR","Turkey","TR","TUR","TR","TR22","Balıkesir, Çanakkale",0.134587488772601,0.00161480552001464,0.780291284321521,0.303807718490611,16.9440019259574,0.0819564044979145
"TR","Turkey","TR","TUR","TR","TR31","İzmir",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR32","Aydın, Denizli, Muğla",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR33","Manisa, Afyonkarahisar, Kütahya, Uşak",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR41","Bursa, Eskişehir, Bilecik",0.034976406984043,0.000713249001240308,0.444376446021739,0.172081473434685,9.74390038377031,0.0373293265323608
"TR","Turkey","TR","TUR","TR","TR42","Kocaeli, Sakarya, Düzce, Bolu, Yalova",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR51","Ankara",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR52","Konya, Karaman",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR61","Antalya, Isparta, Burdur",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR62","Adana, Mersin",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR63","Hatay, Kahramanmaraş, Osmaniye",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR71","Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR72","Kayseri, Sivas, Yozgat",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR81","Zonguldak, Karabük, Bartın",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR82","Kastamonu, Çankırı, Sinop",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR83","Samsun, Tokat, Çorum, Amasya",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TR90","Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TRA1","Erzurum, Erzincan, Bayburt",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TRA2","Ağrı, Kars, Iğdır, Ardahan",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TRB1","Malatya, Elazığ, Bingöl, Tunceli",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TRB2","Van, Muş, Bitlis, Hakkari",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TRC1","Gaziantep, Adıyaman, Kilis",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TRC2","Şanlıurfa, Diyarbakır",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR","TRC3","Mardin, Batman, Şırnak, Siirt",0,0,0,0,0,0
