"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"ES","Spain","ES","ESP","ES","ES62","Región de Murcia",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES63","Ciudad de Ceuta",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES64","Ciudad de Melilla",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES70","Canarias",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES43","Extremadura",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES30","Comunidad de Madrid",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES41","Castilla y León",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES42","Castilla-La Mancha",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI","FI19","Länsi-Suomi",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI","FI20","Åland",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI","FI1B","Helsinki-Uusimaa",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI","FI1C","Etelä-Suomi",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI","FI1D","Pohjois- ja Itä-Suomi",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRB0","Centre — Val de Loire",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRD2","Haute-Normandie",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRC1","Bourgogne",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRC2","Franche-Comté",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRD1","Basse-Normandie",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRF2","Champagne-Ardenne",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRE1","Nord-Pas de Calais",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRE2","Picardie",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRF1","Alsace",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FR10","Ile-de-France",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRI2","Limousin",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRI3","Poitou-Charentes",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRJ1","Languedoc-Roussillon",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRJ2","Midi-Pyrénées",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRK1","Auvergne",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRK2","Rhône-Alpes",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRL0","Provence-Alpes-Côte d’Azur",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRM0","Corse",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRI1","Aquitaine",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRF3","Lorraine",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRG0","Pays de la Loire",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRH0","Bretagne",0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR","HR02","Panonska Hrvatska",0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR","HR03","Jadranska Hrvatska",0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR","HR05","Grad Zagreb",0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR","HR06","Sjeverna Hrvatska",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU","HU12","Pest",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU","HU31","Észak-Magyarország",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU","HU21","Közép-Dunántúl",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU","HU22","Nyugat-Dunántúl",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU","HU23","Dél-Dunántúl",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU","HU11","Budapest",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU","HU32","Észak-Alföld",2.450221403333e-06,1.05106457257694e-07,5.09637205762894e-06,2.57860582989265e-05,3.89146723082701e-05,1.1812421165801e-06
"HU","Hungary","HU","HUN","HU","HU33","Dél-Alföld",0,0,0,0,0,0
"IE","Ireland","IE","IRL","IE","IE04","Northern and Western",0,0,0,0,0,0
"IE","Ireland","IE","IRL","IE","IE05","Southern",0,0,0,0,0,0
"IE","Ireland","IE","IRL","IE","IE06","Eastern and Midland",0,0,0,0,0,0
"IS","Iceland","IS","ISL","IS","IS00","Ísland",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITC3","Liguria",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITC4","Lombardia",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITF3","Campania",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITF4","Puglia",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITF1","Abruzzo",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITF2","Molise",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITG1","Sicilia",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITG2","Sardegna",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITF5","Basilicata",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITF6","Calabria",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITH3","Veneto",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITH4","Friuli-Venezia Giulia",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITH5","Emilia-Romagna",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITI1","Toscana",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITI2","Umbria",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITI3","Marche",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITI4","Lazio",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITH1","Provincia Autonoma di Bolzano/Bozen",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITH2","Provincia Autonoma di Trento",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITC1","Piemonte",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT","ITC2","Valle d’Aosta/Vallée d’Aoste",0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT","LT01","Sostinės regionas",0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT","LT02","Vidurio ir vakarų Lietuvos regionas",0,0,0,0,0,0
"LU","Luxembourg","LU","LUX","LU","LU00","Luxembourg",0,0,0,0,0,0
"LV","Latvia","LV","LVA","LV","LV00","Latvija",0,0,0,0,0,0
"ME","Montenegro","ME","MNE","ME","ME00","Црна Гора",0,0,0,0,0,0
"MK","North Macedonia","MK","MKD","MK","MK00","Северна Македонија",0,0,0,0,0,0
"MT","Malta","MT","MLT","MT","MT00","Malta",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL12","Friesland (NL)",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL23","Flevoland",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL13","Drenthe",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL21","Overijssel",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL22","Gelderland",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL34","Zeeland",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL31","Utrecht",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL32","Noord-Holland",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL33","Zuid-Holland",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL11","Groningen",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL41","Noord-Brabant",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL","NL42","Limburg (NL)",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO","NO07","Nord-Norge",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO","NO08","Oslo og Viken",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO","NO02","Innlandet",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO","NO06","Trøndelag",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO","NO09","Agder og Sør-Østlandet",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO","NO0A","Vestlandet",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL21","Małopolskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL22","Śląskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL41","Wielkopolskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL42","Zachodniopomorskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL43","Lubuskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL51","Dolnośląskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL71","Łódzkie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL72","Świętokrzyskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL81","Lubelskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL82","Podkarpackie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL84","Podlaskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL91","Warszawski stołeczny",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL92","Mazowiecki regionalny",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL62","Warmińsko-mazurskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL63","Pomorskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL52","Opolskie",0,0,0,0,0,0
"PL","Poland","PL","POL","PL","PL61","Kujawsko-pomorskie",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT11","Norte",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT15","Algarve",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT30","Região Autónoma da Madeira",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT16","Centro (PT)",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT17","Área Metropolitana de Lisboa",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT18","Alentejo",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT","PT20","Região Autónoma dos Açores",0,0,0,0,0,0
"RO","Romania","RO","ROU","RO","RO11","Nord-Vest",0.000114073613533308,7.38017077845241e-06,0.000230021292562192,0.000934972318336845,0.00144792215911995,6.63148695619775e-05
"RO","Romania","RO","ROU","RO","RO12","Centru",0.00475358883889401,0.000457666573633547,0.00416087812787717,0.0153648639110649,0.021845278481637,0.00276880014103173
"RO","Romania","RO","ROU","RO","RO21","Nord-Est",0.0188388390786313,0.00336370702520977,0.0234242229460912,0.0565626923798025,0.0764784144969173,0.0155348924324801
"RO","Romania","RO","ROU","RO","RO22","Sud-Est",0.0326489220788976,0.00436966484041214,0.023390114120904,0.0599634516561736,0.0801678867708666,0.0186203281607176
"RO","Romania","RO","ROU","RO","RO31","Sud-Muntenia",0.0198700541485611,0.00403070505225049,0.0213446447634513,0.0565343718316979,0.0768309345713963,0.0161165879472397
"RO","Romania","RO","ROU","RO","RO32","Bucureşti-Ilfov",0.0364573664099889,0.0059661094464841,0.0422832027999622,0.0844736042851267,0.1140134899957,0.0252973766393067
"RO","Romania","RO","ROU","RO","RO41","Sud-Vest Oltenia",0.00123378297356406,8.29600701760279e-05,0.00127722965014184,0.00518732128199367,0.0077660651279448,0.00060773477724514
"RO","Romania","RO","ROU","RO","RO42","Vest",1.15987341992156e-05,6.55388040456275e-07,2.89846759399731e-05,0.00015033790833141,0.000234548235761123,7.56869423016194e-06
"SE","Sweden","SE","SWE","SE","SE11","Stockholm",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE12","Östra Mellansverige",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE21","Småland med öarna",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE22","Sydsverige",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE23","Västsverige",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE31","Norra Mellansverige",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE32","Mellersta Norrland",0,0,0,0,0,0
"SE","Sweden","SE","SWE","SE","SE33","Övre Norrland",0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI","SI03","Vzhodna Slovenija",0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI","SI04","Zahodna Slovenija",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK","SK01","Bratislavský kraj",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK","SK02","Západné Slovensko",0,0,0,0,0,0
