"fid4","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0,0,0,0,0,0
"71",0,0,0,0,0,0
"72",0,0,0,0,0,0
"73",0,0,0,0,0,0
"74",0,0,0,0,0,0
"263",0,0,0,0,0,0
"264",0,0,0,0,0,0
"265",0,0,0,0,0,0
"1627",0.00264277824465046,0.000239072289151835,0.00832379216776203,0.0114218770918979,0.0152347857845002,0.00160839383980694
"1628",0.00733981830848761,0.000831463847446918,0.0146025065314447,0.0249028434910931,0.0334336072482384,0.00474761684621304
"1629",0.00529376076769268,0.000557211173029712,0.0187423526585436,0.0193875781168323,0.0250054874120465,0.00335819330509945
"1630",0.00264277824465045,0.000239072289151835,0.00508531306976279,0.011421877091898,0.0163854442356237,0.00160839383980693
"1631",0.00264277824465045,0.000239072289151836,0.0128953407844156,0.011421877091898,0.0148822622939523,0.00160839383980694
"1632",0.00733981830848762,0.000831463847446917,0.0196376947717365,0.0249028434910931,0.0323415033483464,0.00474761684621303
"1633",0.00624386289528032,0.000681942973391901,0.0202546778689104,0.0219985262392591,0.028408464210224,0.00400007621218705
"1634",0.0116902838655121,0.00147388943400052,0.0346023648840339,0.0356276352382629,0.0444788175130651,0.00777189438080603
"1635",0.00220193493810899,0.000191625457019224,0.00883801965510283,0.00994645435750668,0.0131943536596633,0.001325631268938
"1636",0.00376651397517952,0.000367802045788732,0.00970801153495956,0.0149523409676364,0.0210996877113719,0.00234127424707783
"1637",0.00529376076769268,0.000557211173029713,0.0154924883580696,0.0193875781168323,0.0251632543580623,0.00335819330509945
"1638",0.00316057620594561,0.000297106699763199,0.0127503141587367,0.0130842165141535,0.0171589268910096,0.00194415409452377
"1639",0.00264277824465045,0.000239072289151836,0.0092540429970301,0.0114218770918979,0.0149501339556451,0.00160839383980694
"1640",0.00376651397517952,0.000367802045788731,0.012822079766387,0.0149523409676363,0.0195047186122186,0.00234127424707783
"1641",0.00264277824465045,0.000239072289151836,0.00727998245643557,0.011421877091898,0.0151921795050951,0.00160839383980694
"1642",0.00376651397517952,0.000367802045788731,0.0112678385882991,0.0149523409676363,0.0192957834886767,0.00234127424707783
"1643",0.00859961297259776,0.00100999414177984,0.0197475961084264,0.0281252309194344,0.0356008625204704,0.00561492309211165
"1644",0.002201934938109,0.000191625457019224,0.0103671033420201,0.0099464543575067,0.0131097696241114,0.001325631268938
"1645",0.00529376076769269,0.00055721117302971,0.0141356372496245,0.0193875781168323,0.0256060581572019,0.00335819330509945
"1646",0.00733981830848762,0.00083146384744692,0.0257270782384979,0.0249028434910931,0.0317426683555593,0.00474761684621303
"1647",0.00859961297259775,0.00100999414177984,0.0254157090401524,0.0281252309194344,0.0362408590532165,0.00561492309211165
"1648",0.00447300450130098,0.000453571697342162,0.0163149706805967,0.0170463535853415,0.0228493123442597,0.00280913236181265
"1649",0.0116902838655121,0.00147388943400052,0.0330839335229582,0.0356276352382629,0.0447582756779823,0.00777189438080602
"1650",0.0116902838655121,0.00147388943400051,0.0268455025424743,0.035627635238263,0.0452901873372233,0.00777189438080602
