"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"CZ","Czechia","CZ","CZE","CZ","CZ08","Moravskoslezsko",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ","CZ06","Jihovýchod",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ","CZ07","Střední Morava",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE13","Freiburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE12","Karlsruhe",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE23","Oberpfalz",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE14","Tübingen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE21","Oberbayern",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE22","Niederbayern",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE27","Schwaben",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE24","Oberfranken",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE25","Mittelfranken",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE26","Unterfranken",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE60","Hamburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE71","Darmstadt",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE72","Gießen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE73","Kassel",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE80","Mecklenburg-Vorpommern",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE91","Braunschweig",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE92","Hannover",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE93","Lüneburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE94","Weser-Ems",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEA1","Düsseldorf",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE30","Berlin",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE40","Brandenburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE50","Bremen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEA5","Arnsberg",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEB1","Koblenz",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEB2","Trier",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEB3","Rheinhessen-Pfalz",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEC0","Saarland",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DED2","Dresden",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DED4","Chemnitz",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DED5","Leipzig",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEE0","Sachsen-Anhalt",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEF0","Schleswig-Holstein",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEA2","Köln",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEA3","Münster",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEA4","Detmold",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE11","Stuttgart",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEG0","Thüringen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK","DK04","Midtjylland",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK","DK05","Nordjylland",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK","DK01","Hovedstaden",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK","DK02","Sjælland",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK","DK03","Syddanmark",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE","Estonia","EE","EST","EE","EE00","Eesti",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL30","Aττική",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL41","Βόρειο Αιγαίο",0,0,0,0,0,0,0,0,0,0,0,0,0,0
