"fid4","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0,0,0,0,0,0
"71",0,0,0,0,0,0
"72",0,0,0,0,0,0
"73",0,0,0,0,0,0
"74",0,0,0,0,0,0
"263",0,0,0,0,0,0
"264",0,0,0,0,0,0
"265",0,0,0,0,0,0
"1627",0.137653769376221,0.00150475086675009,0.494446225856529,0.139396440476259,8.26429149771402,0.108662672930515
"1628",0.0321814131704749,0.0261525941907926,3.378751191232,1.58482717012425,48.7472921417777,0.857092939373472
"1629",0.0446945657352941,0.000452129573260327,0.258554735830034,0.0474879163740372,4.59058102815056,0.0704259437064925
"1630",0.0068169198367202,0.00855602766478155,1.13696308511986,0.725476969638087,15.3184064143002,0.205348171120352
"1631",0.254125565410438,0.000225891276338372,0.41202933051439,0.0500038746704867,7.59723283579028,0.103749711219897
"1632",0.790351738215403,0.00560279094619117,1.4001285376079,0.409918818387055,23.1450306967161,0.437762986390325
"1633",0.23573773668009,0.00164619944358569,0.72203355837471,0.163820058741047,12.5892033959694,0.211337911975229
"1634",0.833670265426814,0.00159345741088318,0.669417093495737,0.0688443348533807,11.8955677883229,0.281042977144658
"1635",0.208820924829009,0.000670738233774081,0.408340198504898,0.0890078608074092,7.18527148643149,0.0928428751462137
"1636",0.0998723120557359,0.0838519345071292,18.195164737557,12.3878520338737,275.844842914495,3.8032561366317
"1637",0.241632233282078,0.00182696239617688,0.550169075108689,0.12256735582644,9.29780081186966,0.15511078882628
"1638",0.148852159458299,0.000608380618164588,0.445558375001762,0.0916385154426959,7.94469340043834,0.108076736278797
"1639",0.101848490030867,0.000688967124682952,0.294957768942246,0.0441046141210834,5.12854610257915,0.0677447103371147
"1640",0.285777008626886,0.00157317381931953,0.677261991428876,0.132457466222038,11.7678814495722,0.174998437456896
"1641",0.0345635594159914,0.000638651210043065,0.157597325783518,0.0399898166045162,2.55533033405607,0.0337767101147857
"1642",0.390837030776972,0.00209959005600101,0.63514415437055,0.0696638207755858,10.8252507296905,0.171549864834689
"1643",0.787532002955498,0.00659366219678062,1.14574778196248,0.148690724056191,18.4871528371502,0.382974702892773
"1644",0.186531849427676,0.000355436991058631,0.411401516896413,0.0714185215207674,7.46124190430864,0.0933800805000485
"1645",0.573971283908714,0.00690607832561295,1.64784555966484,0.560428731895343,26.7375940888909,0.442591926034753
"1646",0.4750582899003,0.000930434502324271,0.648255916928038,0.106854524418391,11.6613306115726,0.220198558240708
"1647",0.740103391690187,0.00410164739150663,1.45986727825557,0.407907340439874,25.0335223302428,0.480953089148879
"1648",0.144474560921515,0.00160303850955043,0.943170366970126,0.411195824372531,16.2437968286173,0.234534164992558
"1649",0.894672153985314,0.00217104216710084,0.750165410344882,0.114943977197408,13.0867679758239,0.30864149014954
"1650",0.308689181754561,0.00600698620024489,1.06989999328713,0.248086839398123,17.248341496205,0.357457114433883
"1651",0.0888253639957461,0.00184194727211625,0.320954038717604,0.0298443559344341,4.98099250582369,0.0664490261991664
"1652",0.190861973384304,0.000255732846705156,0.725794985017989,0.280381423199652,13.0536925996117,0.16176610136614
