"fid4","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0,0,0,0,0,0
"71",0,0,0,0,0,0
"72",0,0,0,0,0,0
"73",0,0,0,0,0,0
"74",0,0,0,0,0,0
"263",0,0,0,0,0,0
"264",0,0,0,0,0,0
"265",0,0,0,0,0,0
"1627",0.00529376076769268,0.000557211173029712,0.0141705513497633,0.0193875781168323,0.025388913646627,0.00335819330509945
"1628",0.0100427515171602,0.00122232879293799,0.0187705998340738,0.0316913395844193,0.0421444138903096,0.00661742171063674
"1629",0.00859961297259775,0.00100999414177984,0.0270262845526574,0.0281252309194345,0.035787939092966,0.00561492309211164
"1630",0.00376651397517952,0.000367802045788732,0.0067646613055588,0.0149523409676363,0.0212493509109763,0.00234127424707782
"1631",0.00529376076769268,0.000557211173029712,0.0215788091956052,0.0193875781168324,0.0248058860615698,0.00335819330509945
"1632",0.0238384159174707,0.00356028993721811,0.0490757687377069,0.0618212384801079,0.0773560094129435,0.0165076833772667
"1633",0.0156905007173447,0.00211982410835168,0.0408554631117275,0.0447196847941408,0.056196222063916,0.0106107880594499
"1634",0.0272396087771854,0.00420268901297909,0.0658983170761791,0.0685545792647488,0.0833336729463553,0.0190031795072271
"1635",0.00624386289528032,0.0006819429733919,0.0193805288096589,0.0219985262392591,0.0283909366626643,0.00400007621218707
"1636",0.00859961297259775,0.00100999414177984,0.0185117282586935,0.0281252309194345,0.0387483959200317,0.00561492309211166
"1637",0.0135648158004046,0.00177077699718222,0.0319937716484001,0.0399612308100381,0.0504716125745719,0.00909650098659808
"1638",0.00624386289528032,0.000681942973391897,0.0212461484435473,0.0219985262392591,0.0283293821075172,0.00400007621218705
"1639",0.00624386289528031,0.000681942973391903,0.017787215188617,0.0219985262392591,0.0281469490855332,0.00400007621218706
"1640",0.00859961297259775,0.00100999414177984,0.0240229160254861,0.0281252309194345,0.0358672673964002,0.00561492309211165
"1641",0.00624386289528032,0.000681942973391902,0.0142013543466733,0.0219985262392591,0.0285975286287126,0.00400007621218705
"1642",0.00733981830848762,0.000831463847446917,0.0188159975274221,0.0249028434910931,0.0315641376784936,0.00474761684621303
"1643",0.0238384159174708,0.00356028993721811,0.0442070104329828,0.0618212384801077,0.0758344567547757,0.0165076833772666
"1644",0.00859961297259776,0.00100999414177985,0.0286632137003254,0.0281252309194345,0.0357449758022691,0.00561492309211165
"1645",0.0135648158004046,0.00177077699718221,0.0294045985945121,0.039961230810038,0.0513313341369251,0.00909650098659812
"1646",0.0156905007173448,0.0021198241083517,0.0456159916773814,0.0447196847941407,0.0557359657677891,0.0106107880594499
"1647",0.0310339556734192,0.00494410063424886,0.0680345164747658,0.0758477222428077,0.0937249274548674,0.0218058835319137
"1648",0.0116902838655121,0.00147388943400051,0.0337239888483434,0.0356276352382629,0.0464382044477447,0.00777189438080602
"1649",0.0272396087771854,0.00420268901297908,0.0632175648029386,0.0685545792647486,0.0838263786267593,0.0190031795072271
"1650",0.0272396087771854,0.00420268901297908,0.0522037722397112,0.0685545792647488,0.0847641787302534,0.0190031795072271
