"CNTR_CODE","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"POL",0.00249488327191952,0.000210582539422247,0.000106064376217997,0.000503899369187735,0.000714723748755457,0.000433144019633283,0.000674900197574116,0.000495737827878632,0.000985224877435878,0.00100437833421466,0.00139715975057931,0.000948309198046728,0.000450434496942625,0.000172133606959964
"HUN",0.00178089605908733,0.00149089325741248,0.000127680012169803,0.000973689623266014,0.000433209256641352,0.000537051895650685,0.0018904996190277,0.000502685795119662,0.000382889807587904,0.000847894694422399,0.000776696251047402,0.000375368587940026,0.000118085922748639,8.91789636007832e-05
"CZE",0.000693845250183029,4.42739075145862e-05,1.98655805180547e-05,8.03932033095321e-05,7.83529988377173e-05,7.10107685261104e-05,0.000468599619574127,6.39351325477517e-05,9.88234195159068e-05,8.98930162187327e-05,0.000115285152583525,6.93408302502827e-05,2.15089258750319e-05,2.48452667727499e-05
"HRV",0.00442881001566414,0.00221551765405483,0.000135208127531484,0.000603836929730701,0.000162532309637418,0.000257623744210121,0.000972846405726124,6.54972210992082e-05,0.000782889727101333,0.000547802500125624,0.0008094932051817,0.000235844845886637,0.000181098864948857,0.000273853749304077
"ROU",0.00198621629055869,0.000149845873676423,0.000125546507679951,0.000537667187407268,0.000377447028220871,0.000309258448338011,0.00195083113068551,0.00047413004203697,0.000529102504921167,0.000730690645649927,0.000778406639391502,0.00101944277406375,0.000118897321169532,9.06410206297246e-05
