"CNTR_CODE","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"POL",0.00249488327191952,0.000210582539422247,0.00014839713145695,0.000503899369187735,0.000725628227551256,0.000674900197574116
"HUN",0.00178089605908733,0.00149089325741248,0.000167174920742826,0.000973689623266014,0.000292902161245304,0.0018904996190277
"CZE",0.000693845250183029,4.42739075145862e-05,2.64891028884233e-05,8.03932033095321e-05,5.34259907900301e-05,0.000468599619574127
"HRV",0.00442881001566414,0.00221551765405483,0.000143276724785352,0.000603836929730701,0.000237180846428539,0.000972846405726124
"ROU",0.00198621629055869,0.000149845873676423,0.000161694398116918,0.000537667187407268,0.000407920636913374,0.00195083113068551
