"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"DE","Germany","DE","DEU","DE","DE22","Niederbayern",4.39402351087078e-07,1.66126017601008e-08,5.02903001705094e-08,2.25065183912072e-08,1.13793750597173e-07,6.72392584112901e-08
"DE","Germany","DE","DEU","DE","DE27","Schwaben",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE24","Oberfranken",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE25","Mittelfranken",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE26","Unterfranken",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE60","Hamburg",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE71","Darmstadt",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE72","Gießen",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE73","Kassel",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE80","Mecklenburg-Vorpommern",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE91","Braunschweig",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE92","Hannover",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE93","Lüneburg",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE94","Weser-Ems",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEA1","Düsseldorf",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE30","Berlin",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE40","Brandenburg",4.26450488170859e-08,3.37414347459165e-09,2.22890765019219e-08,1.4293185276951e-08,6.61487956933385e-08,3.75778577463812e-08
"DE","Germany","DE","DEU","DE","DE50","Bremen",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEA5","Arnsberg",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEB1","Koblenz",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEB2","Trier",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEB3","Rheinhessen-Pfalz",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEC0","Saarland",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DED2","Dresden",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DED4","Chemnitz",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DED5","Leipzig",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEE0","Sachsen-Anhalt",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEF0","Schleswig-Holstein",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEA2","Köln",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEA3","Münster",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEA4","Detmold",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DE11","Stuttgart",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE","DEG0","Thüringen",0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK","DK04","Midtjylland",0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK","DK05","Nordjylland",0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK","DK01","Hovedstaden",0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK","DK02","Sjælland",0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK","DK03","Syddanmark",0,0,0,0,0,0
"EE","Estonia","EE","EST","EE","EE00","Eesti",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL30","Aττική",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL41","Βόρειο Αιγαίο",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL42","Νότιο Αιγαίο",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL43","Κρήτη",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL51","Aνατολική Μακεδονία, Θράκη",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL52","Κεντρική Μακεδονία",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL53","Δυτική Μακεδονία",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL64","Στερεά Ελλάδα",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL65","Πελοπόννησος",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL61","Θεσσαλία",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL62","Ιόνια Νησιά",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL63","Δυτική Ελλάδα",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL","EL54","Ήπειρος",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES11","Galicia",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES12","Principado de Asturias",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES13","Cantabria",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES21","País Vasco",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES22","Comunidad Foral de Navarra",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES23","La Rioja",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES24","Aragón",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES51","Cataluña",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES52","Comunitat Valenciana",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES53","Illes Balears",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES61","Andalucía",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES62","Región de Murcia",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES63","Ciudad de Ceuta",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES64","Ciudad de Melilla",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES70","Canarias",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES43","Extremadura",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES30","Comunidad de Madrid",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES41","Castilla y León",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES","ES42","Castilla-La Mancha",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI","FI19","Länsi-Suomi",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI","FI20","Åland",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI","FI1B","Helsinki-Uusimaa",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI","FI1C","Etelä-Suomi",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI","FI1D","Pohjois- ja Itä-Suomi",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRB0","Centre — Val de Loire",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRD2","Haute-Normandie",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRC1","Bourgogne",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRC2","Franche-Comté",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRD1","Basse-Normandie",0,0,0,0,0,0
"FR","France","FR","FRA","FR","FRF2","Champagne-Ardenne",0,0,0,0,0,0
