ENDW_COMMi,PROD_COMMj,REGr,Value
capital,cns,blr,0
capital,cns,bra,0
capital,cns,can_xna,0
capital,cns,cas,0
capital,cns,che,0
capital,cns,chn,0
capital,cns,cyp,0
capital,cns,cze,0
capital,cns,deu,0
capital,cns,dnk,0
capital,cns,esp,0
capital,cns,est,0
capital,cns,fin,0
capital,cns,fra,0
capital,cns,gbr,0
capital,cns,grc,0
capital,cns,hrv,0
capital,cns,hun,0
capital,cns,idn,0
capital,cns,ind,0
capital,cns,irl,0
capital,cns,ita,0
capital,cns,jpn,0
capital,cns,kor,0
capital,cns,lam_l,0
capital,cns,lam_m,0
capital,cns,ltu,0
capital,cns,lux,0
capital,cns,lva,0
capital,cns,mea_h,0
capital,cns,mea_m,0
capital,cns,mex,0
capital,cns,mlt,0
capital,cns,naf,0
capital,cns,nld,0
capital,cns,nor,0
capital,cns,oas_cpa,0
capital,cns,oas_l,0
capital,cns,oas_m,0
capital,cns,pak,0
capital,cns,pol,0
capital,cns,prt,0
capital,cns,rou,0
capital,cns,rus,0
capital,cns,ssa_l,0
capital,cns,ssa_m,0
capital,cns,svk,0
capital,cns,svn,0
capital,cns,swe,0
capital,cns,tur,0
capital,cns,twn,0
capital,cns,ukr,0
capital,cns,usa,0
capital,cns,xee,0
capital,cns,xef,0
capital,cns,xer,0
capital,cns,zaf,0
capital,crp,alb,0
capital,crp,anuz,0
capital,crp,aut,0
capital,crp,bel,0
capital,crp,bgr,0
capital,crp,blr,0
capital,crp,bra,0
capital,crp,can_xna,0
capital,crp,cas,0
capital,crp,che,0
capital,crp,chn,0
capital,crp,cyp,0
capital,crp,cze,0
capital,crp,deu,0
capital,crp,dnk,0
capital,crp,esp,0
capital,crp,est,0
capital,crp,fin,0
capital,crp,fra,0
capital,crp,gbr,0
capital,crp,grc,0
capital,crp,hrv,0
capital,crp,hun,0
capital,crp,idn,0
capital,crp,ind,0
capital,crp,irl,0
capital,crp,ita,0
capital,crp,jpn,0
capital,crp,kor,0
capital,crp,lam_l,0
capital,crp,lam_m,0
capital,crp,ltu,0
capital,crp,lux,0
capital,crp,lva,0
capital,crp,mea_h,0
capital,crp,mea_m,0
capital,crp,mex,0
capital,crp,mlt,0
capital,crp,naf,0
capital,crp,nld,0
capital,crp,nor,0
capital,crp,oas_cpa,0
capital,crp,oas_l,0
capital,crp,oas_m,0
capital,crp,pak,0
capital,crp,pol,0
capital,crp,prt,0
capital,crp,rou,0
capital,crp,rus,0
capital,crp,ssa_l,0
capital,crp,ssa_m,0
capital,crp,svk,0
capital,crp,svn,0
capital,crp,swe,0
capital,crp,tur,0
capital,crp,twn,0
capital,crp,ukr,0
capital,crp,usa,0
capital,crp,xee,0
capital,crp,xef,0
capital,crp,xer,0
capital,crp,zaf,0
capital,ctl,alb,0
