ENDW_COMMi,PROD_COMMj,REGr,Value
capital,eqm,naf,0
capital,eqm,oas_cpa,0
capital,eqm,oas_l,0
capital,eqm,oas_m,0
capital,eqm,pak,0
capital,eqm,rus,0
capital,eqm,ssa_l,0
capital,eqm,ssa_m,0
capital,eqm,tur,0
capital,eqm,twn,0
capital,eqm,usa,0
capital,eqm,zaf,0
capital,fin,anuz,0
capital,fin,bra,0
capital,fin,can_xna,0
capital,fin,cas,0
capital,fin,chn,0
capital,fin,eeu,0
capital,fin,eeu_fsu,0
capital,fin,efta,0
capital,fin,eu12_h,0
capital,fin,eu12_m,0
capital,fin,eu15,0
capital,fin,idn,0
capital,fin,ind,0
capital,fin,jpn,0
capital,fin,kor,0
capital,fin,lam_l,0
capital,fin,lam_m,0
capital,fin,mea_h,0
capital,fin,mea_m,0
capital,fin,mex,0
capital,fin,naf,0
capital,fin,oas_cpa,0
capital,fin,oas_l,0
capital,fin,oas_m,0
capital,fin,pak,0
capital,fin,rus,0
capital,fin,ssa_l,0
capital,fin,ssa_m,0
capital,fin,tur,0
capital,fin,twn,0
capital,fin,usa,0
capital,fin,zaf,0
capital,frs,anuz,0
capital,frs,bra,0
capital,frs,can_xna,0
capital,frs,cas,0
capital,frs,chn,0
capital,frs,eeu,0
capital,frs,eeu_fsu,0
capital,frs,efta,0
capital,frs,eu12_h,0
capital,frs,eu12_m,0
capital,frs,eu15,0
capital,frs,idn,0
capital,frs,ind,0
capital,frs,jpn,0
capital,frs,kor,0
capital,frs,lam_l,0
capital,frs,lam_m,0
capital,frs,mea_h,0
capital,frs,mea_m,0
capital,frs,mex,0
capital,frs,naf,0
capital,frs,oas_cpa,0
capital,frs,oas_l,0
capital,frs,oas_m,0
capital,frs,pak,0
capital,frs,rus,0
capital,frs,ssa_l,0
capital,frs,ssa_m,0
capital,frs,tur,0
capital,frs,twn,0
capital,frs,usa,0
capital,frs,zaf,0
capital,fsh,anuz,0
capital,fsh,bra,0
capital,fsh,can_xna,0
capital,fsh,cas,0
capital,fsh,chn,0
capital,fsh,eeu,0
capital,fsh,eeu_fsu,0
capital,fsh,efta,0
capital,fsh,eu12_h,0
capital,fsh,eu12_m,0
capital,fsh,eu15,0
capital,fsh,idn,0
capital,fsh,ind,0
capital,fsh,jpn,0
capital,fsh,kor,0
capital,fsh,lam_l,0
capital,fsh,lam_m,0
capital,fsh,mea_h,0
capital,fsh,mea_m,0
capital,fsh,mex,0
capital,fsh,naf,0
capital,fsh,oas_cpa,0
capital,fsh,oas_l,0
capital,fsh,oas_m,0
capital,fsh,pak,0
capital,fsh,rus,0
capital,fsh,ssa_l,0
capital,fsh,ssa_m,0
capital,fsh,tur,0
capital,fsh,twn,0
capital,fsh,usa,0
capital,fsh,zaf,0
capital,gro,anuz,0
capital,gro,bra,0
capital,gro,can_xna,0
capital,gro,cas,0
capital,gro,chn,0
capital,gro,eeu,0
capital,gro,eeu_fsu,0
capital,gro,efta,0
capital,gro,eu12_h,0
capital,gro,eu12_m,0
capital,gro,eu15,0
capital,gro,idn,0
capital,gro,ind,0
capital,gro,jpn,0
capital,gro,kor,0
capital,gro,lam_l,0
capital,gro,lam_m,0
capital,gro,mea_h,0
capital,gro,mea_m,0
capital,gro,mex,0
capital,gro,naf,0
capital,gro,oas_cpa,0
capital,gro,oas_l,0
capital,gro,oas_m,0
capital,gro,pak,0
capital,gro,rus,0
capital,gro,ssa_l,0
capital,gro,ssa_m,0
capital,gro,tur,0
capital,gro,twn,0
capital,gro,usa,0
capital,gro,zaf,0
capital,mil,anuz,0
capital,mil,bra,0
capital,mil,can_xna,0
capital,mil,cas,0
capital,mil,chn,0
capital,mil,eeu,0
capital,mil,eeu_fsu,0
capital,mil,efta,0
capital,mil,eu12_h,0
capital,mil,eu12_m,0
capital,mil,eu15,0
capital,mil,idn,0
capital,mil,ind,0
capital,mil,jpn,0
capital,mil,kor,0
capital,mil,lam_l,0
capital,mil,lam_m,0
capital,mil,mea_h,0
capital,mil,mea_m,0
capital,mil,mex,0
capital,mil,naf,0
capital,mil,oas_cpa,0
capital,mil,oas_l,0
capital,mil,oas_m,0
capital,mil,pak,0
capital,mil,rus,0
capital,mil,ssa_l,0
capital,mil,ssa_m,0
capital,mil,tur,0
capital,mil,twn,0
capital,mil,usa,0
capital,mil,zaf,0
capital,min,anuz,0
capital,min,bra,0
capital,min,can_xna,0
capital,min,cas,0
capital,min,chn,0
capital,min,eeu,0
capital,min,eeu_fsu,0
capital,min,efta,0
capital,min,eu12_h,0
capital,min,eu12_m,0
capital,min,eu15,0
capital,min,idn,0
capital,min,ind,0
capital,min,jpn,0
capital,min,kor,0
capital,min,lam_l,0
capital,min,lam_m,0
capital,min,mea_h,0
capital,min,mea_m,0
capital,min,mex,0
capital,min,naf,0
capital,min,oas_cpa,0
capital,min,oas_l,0
capital,min,oas_m,0
capital,min,pak,0
capital,min,rus,0
capital,min,ssa_l,0
capital,min,ssa_m,0
capital,min,tur,0
capital,min,twn,0
capital,min,usa,0
capital,min,zaf,0
capital,mmi,anuz,0
capital,mmi,bra,0
capital,mmi,can_xna,0
capital,mmi,cas,0
capital,mmi,chn,0
capital,mmi,eeu,0
capital,mmi,eeu_fsu,0
capital,mmi,efta,0
capital,mmi,eu12_h,0
capital,mmi,eu12_m,0
capital,mmi,eu15,0
capital,mmi,idn,0
capital,mmi,ind,0
capital,mmi,jpn,0
capital,mmi,kor,0
capital,mmi,lam_l,0
capital,mmi,lam_m,0
capital,mmi,mea_h,0
capital,mmi,mea_m,0
capital,mmi,mex,0
capital,mmi,naf,0
capital,mmi,oas_cpa,0
capital,mmi,oas_l,0
capital,mmi,oas_m,0
capital,mmi,pak,0
capital,mmi,rus,0
capital,mmi,ssa_l,0
capital,mmi,ssa_m,0
capital,mmi,tur,0
capital,mmi,twn,0
capital,mmi,usa,0
capital,mmi,zaf,0
capital,mvo,anuz,0
capital,mvo,bra,0
capital,mvo,can_xna,0
capital,mvo,cas,0
capital,mvo,chn,0
capital,mvo,eeu,0
capital,mvo,eeu_fsu,0
capital,mvo,efta,0
capital,mvo,eu12_h,0
capital,mvo,eu12_m,0
capital,mvo,eu15,0
capital,mvo,idn,0
capital,mvo,ind,0
capital,mvo,jpn,0
capital,mvo,kor,0
capital,mvo,lam_l,0
capital,mvo,lam_m,0
capital,mvo,mea_h,0
capital,mvo,mea_m,0
capital,mvo,mex,0
capital,mvo,naf,0
capital,mvo,oas_cpa,0
capital,mvo,oas_l,0
capital,mvo,oas_m,0
capital,mvo,pak,0
capital,mvo,rus,0
capital,mvo,ssa_l,0
capital,mvo,ssa_m,0
capital,mvo,tur,0
capital,mvo,twn,0
capital,mvo,usa,0
capital,mvo,zaf,0
capital,nmm,anuz,0
capital,nmm,bra,0
capital,nmm,can_xna,0
capital,nmm,cas,0
capital,nmm,chn,0
capital,nmm,eeu,0
capital,nmm,eeu_fsu,0
capital,nmm,efta,0
capital,nmm,eu12_h,0
capital,nmm,eu12_m,0
capital,nmm,eu15,0
capital,nmm,idn,0
capital,nmm,ind,0
capital,nmm,jpn,0
capital,nmm,kor,0
capital,nmm,lam_l,0
capital,nmm,lam_m,0
capital,nmm,mea_h,0
capital,nmm,mea_m,0
capital,nmm,mex,0
capital,nmm,naf,0
capital,nmm,oas_cpa,0
capital,nmm,oas_l,0
capital,nmm,oas_m,0
capital,nmm,pak,0
capital,nmm,rus,0
capital,nmm,ssa_l,0
capital,nmm,ssa_m,0
capital,nmm,tur,0
capital,nmm,twn,0
capital,nmm,usa,0
capital,nmm,zaf,0
capital,oap,anuz,0
capital,oap,bra,0
capital,oap,can_xna,0
capital,oap,cas,0
capital,oap,chn,0
capital,oap,eeu,0
capital,oap,eeu_fsu,0
capital,oap,efta,0
capital,oap,eu12_h,0
capital,oap,eu12_m,0
capital,oap,eu15,0
capital,oap,idn,0
capital,oap,ind,0
capital,oap,jpn,0
capital,oap,kor,0
capital,oap,lam_l,0
capital,oap,lam_m,0
capital,oap,mea_h,0
capital,oap,mea_m,0
capital,oap,mex,0
capital,oap,naf,0
capital,oap,oas_cpa,0
capital,oap,oas_l,0
capital,oap,oas_m,0
capital,oap,pak,0
capital,oap,rus,0
capital,oap,ssa_l,0
capital,oap,ssa_m,0
capital,oap,tur,0
capital,oap,twn,0
capital,oap,usa,0
capital,oap,zaf,0
capital,ocr,anuz,0
capital,ocr,bra,0
capital,ocr,can_xna,0
capital,ocr,cas,0
capital,ocr,chn,0
capital,ocr,eeu,0
capital,ocr,eeu_fsu,0
