NUTS2 Code,ISO2,A,D,E,H
ITF3,IT,16.65,2.13030426,7.5,0.38352
ITF4,IT,12.57,2.13030426,7.62,0.38352
ITF5,IT,9.42,2.13030426,7.41,0.38352
ITF6,IT,12.99,2.13030426,7.98,0.38352
ITG1,IT,20.76,2.13030426,7.83,0.38352
ITG2,IT,13.05,2.13030426,7.44,0.38352
ITH1,IT,17.55,2.13030426,9,0.38352
ITH2,IT,0,2.13030426,7.95,0.38352
ITH3,IT,9.69,2.13030426,6.99,0.38352
ITH4,IT,8.52,2.13030426,7.11,0.38352
ITH5,IT,8.97,2.13030426,6.81,0.38352
ITI1,IT,11.22,2.13030426,7.38,0.38352
ITI2,IT,9.9,2.13030426,7.14,0.38352
ITI3,IT,11.61,2.13030426,6.66,0.38352
ITI4,IT,16.17,2.13030426,7.23,0.38352
HU11,HU,17.1,0.292246364544,6.48,1.02366
HU12,HU,18.33,0.292246364544,6.45,1.02366
HU21,HU,16.97,0.292246364544,6.39,1.02366
HU22,HU,10.53,0.292246364544,6.18,1.02366
HU23,HU,15.81,0.292246364544,6.54,1.02366
HU31,HU,16.62,0.292246364544,6.51,1.02366
HU32,HU,19.55,0.292246364544,6.36,1.02366
HU33,HU,18.01,0.292246364544,6.42,1.02366
AT11,AT,16.26,5.996591406,8.4,1.47204
AT12,AT,18.72,5.996591406,7.56,1.47204
AT13,AT,14.19,5.996591406,8.49,1.47204
AT21,AT,11.91,5.996591406,8.97,1.47204
AT22,AT,15.48,5.996591406,7.89,1.47204
AT31,AT,15,5.996591406,7.5,1.47204
AT32,AT,11.67,5.996591406,8.04,1.47204
AT33,AT,11.94,5.996591406,8.52,1.47204
AT34,AT,11.13,5.996591406,8.28,1.47204
PL21,PL,13.44,0.1307448894,5.88,0.6909
PL22,PL,12.84,0.1307448894,5.67,0.6909
PL41,PL,12.57,0.1307448894,5.55,0.6909
PL42,PL,11.16,0.1307448894,5.64,0.6909
PL43,PL,17.85,0.1307448894,5.64,0.6909
