"NUTS2.Code","ISO2","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"PL43","PL",0,0,0,0,0,0
"PL51","PL",0,0,0,0,0,0
"PL52","PL",0,0,0,0,0,0
"PL61","PL",0,0,0,0,0,0
"PL62","PL",0,0,0,0,0,0
"PL63","PL",0,0,0,0,0,0
"PL71","PL",0,0,0,0,0,0
"PL72","PL",0,0,0,0,0,0
"PL81","PL",0,0,0,0,0,0
"PL82","PL",0,0,0,0,0,0
"PL84","PL",0,0,0,0,0,0
"PL91","PL",0,0,0,0,0,0
"PL92","PL",0,0,0,0,0,0
"RO11","RO",0,0,0,0,0,0
"RO12","RO",0,0,0,0,0,0
"RO21","RO",0,0,0,0,0,0
"RO22","RO",0,0,0,0,0,0
"RO31","RO",0,0,0,0,0,0
"RO32","RO",0,0,0,0,0,0
"RO41","RO",0,0,0,0,0,0
"RO42","RO",0,0,0,0,0,0
"SI03","SI",0,0,0,0,0,0
"SI04","SI",0,0,0,0,0,0
"SK01","SK",0,0,0,0,0,0
"SK02","SK",0,0,0,0,0,0
"SK03","SK",0,0,0,0,0,0
"SK04","SK",0,0,0,0,0,0
