"NUTS2.Code","ISO2","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"FRF3","FR",17.16,NA,NA,1.83902873817273,NA,0.5217
"FRG0","FR",11.1,NA,NA,1.83902873817273,NA,0.5217
"FRH0","FR",11.13,NA,NA,1.83902873817273,NA,0.5217
"FRI1","FR",11.82,NA,NA,1.83902873817273,NA,0.5217
"FRI2","FR",11.49,NA,NA,1.83902873817273,NA,0.5217
"FRI3","FR",11.19,NA,NA,1.83902873817273,NA,0.5217
"FRJ1","FR",11.37,NA,NA,1.83902873817273,NA,0.5217
"FRJ2","FR",10.89,NA,NA,1.83902873817273,NA,0.5217
"FRK1","FR",12,NA,NA,1.83902873817273,NA,0.5217
"FRK2","FR",11.55,NA,NA,1.83902873817273,NA,0.5217
"FRL0","FR",19.11,NA,NA,1.83902873817273,NA,0.5217
"FRM0","FR",18.66,NA,NA,1.83902873817273,NA,0.5217
"HR02","HR",17.31,NA,NA,6.6256180416,NA,1.67226
"HR03","HR",17.31,NA,NA,6.6256180416,NA,1.67226
"HR05","HR",17.31,NA,NA,6.6256180416,NA,1.67226
"HR06","HR",17.31,NA,NA,6.6256180416,NA,1.67226
"ITC1","IT",9,NA,NA,2.13030426,NA,0.38352
"ITC2","IT",9,NA,NA,2.13030426,NA,0.38352
"ITC3","IT",17.25,NA,NA,2.13030426,NA,0.38352
"ITC4","IT",12.84,NA,NA,2.13030426,NA,0.38352
"ITF1","IT",12.15,NA,NA,2.13030426,NA,0.38352
"ITF2","IT",13.35,NA,NA,2.13030426,NA,0.38352
"ITF3","IT",16.65,NA,NA,2.13030426,NA,0.38352
"ITF4","IT",12.57,NA,NA,2.13030426,NA,0.38352
"ITF5","IT",9.42,NA,NA,2.13030426,NA,0.38352
"ITF6","IT",12.99,NA,NA,2.13030426,NA,0.38352
"ITG1","IT",20.76,NA,NA,2.13030426,NA,0.38352
"ITG2","IT",13.05,NA,NA,2.13030426,NA,0.38352
"ITH1","IT",17.55,NA,NA,2.13030426,NA,0.38352
"ITH2","IT",0,NA,NA,2.13030426,NA,0.38352
"ITH3","IT",9.69,NA,NA,2.13030426,NA,0.38352
"ITH4","IT",8.52,NA,NA,2.13030426,NA,0.38352
"ITH5","IT",8.97,NA,NA,2.13030426,NA,0.38352
"ITI1","IT",11.22,NA,NA,2.13030426,NA,0.38352
"ITI2","IT",9.9,NA,NA,2.13030426,NA,0.38352
"ITI3","IT",11.61,NA,NA,2.13030426,NA,0.38352
"ITI4","IT",16.17,NA,NA,2.13030426,NA,0.38352
"HU11","HU",17.1,NA,NA,0.292246364544,NA,1.02366
"HU12","HU",18.33,NA,NA,0.292246364544,NA,1.02366
"HU21","HU",16.97,NA,NA,0.292246364544,NA,1.02366
"HU22","HU",10.53,NA,NA,0.292246364544,NA,1.02366
"HU23","HU",15.81,NA,NA,0.292246364544,NA,1.02366
"HU31","HU",16.62,NA,NA,0.292246364544,NA,1.02366
"HU32","HU",19.55,NA,NA,0.292246364544,NA,1.02366
"HU33","HU",18.01,NA,NA,0.292246364544,NA,1.02366
"AT11","AT",16.26,NA,NA,5.996591406,NA,1.47204
"AT12","AT",18.72,NA,NA,5.996591406,NA,1.47204
"AT13","AT",14.19,NA,NA,5.996591406,NA,1.47204
"AT21","AT",11.91,NA,NA,5.996591406,NA,1.47204
"AT22","AT",15.48,NA,NA,5.996591406,NA,1.47204
"AT31","AT",15,NA,NA,5.996591406,NA,1.47204
"AT32","AT",11.67,NA,NA,5.996591406,NA,1.47204
"AT33","AT",11.94,NA,NA,5.996591406,NA,1.47204
"AT34","AT",11.13,NA,NA,5.996591406,NA,1.47204
"PL21","PL",13.44,NA,NA,0.1307448894,NA,0.6909
"PL22","PL",12.84,NA,NA,0.1307448894,NA,0.6909
"PL41","PL",12.57,NA,NA,0.1307448894,NA,0.6909
"PL42","PL",11.16,NA,NA,0.1307448894,NA,0.6909
"PL43","PL",17.85,NA,NA,0.1307448894,NA,0.6909
"PL51","PL",10.5,NA,NA,0.1307448894,NA,0.6909
"PL52","PL",10.5,NA,NA,0.1307448894,NA,0.6909
"PL61","PL",11.01,NA,NA,0.1307448894,NA,0.6909
"PL62","PL",11.01,NA,NA,0.1307448894,NA,0.6909
"PL63","PL",11.01,NA,NA,0.1307448894,NA,0.6909
"PL71","PL",17.7,NA,NA,0.1307448894,NA,0.6909
"PL72","PL",13.17,NA,NA,0.1307448894,NA,0.6909
"PL81","PL",12.33,NA,NA,0.1307448894,NA,0.6909
"PL82","PL",13.23,NA,NA,0.1307448894,NA,0.6909
"PL84","PL",11.25,NA,NA,0.1307448894,NA,0.6909
"PL91","PL",12.66,NA,NA,0.1307448894,NA,0.6909
"PL92","PL",12.21,NA,NA,0.1307448894,NA,0.6909
"RO11","RO",14.82,NA,NA,5.127906816,NA,0.45684
"RO12","RO",15,NA,NA,5.127906816,NA,0.45684
"RO21","RO",16.74,NA,NA,5.127906816,NA,0.45684
"RO22","RO",19.98,NA,NA,5.127906816,NA,0.45684
"RO31","RO",19.8,NA,NA,5.127906816,NA,0.45684
"RO32","RO",22.47,NA,NA,5.127906816,NA,0.45684
"RO41","RO",19.26,NA,NA,5.127906816,NA,0.45684
"RO42","RO",14.91,NA,NA,5.127906816,NA,0.45684
"SI03","SI",15.21,NA,NA,4.0058410944,NA,2.14602
"SI04","SI",16.26,NA,NA,4.0058410944,NA,2.14602
"SK01","SK",19.53,NA,NA,2.9723288859,NA,1.51152
"SK02","SK",19.53,NA,NA,2.9723288859,NA,1.51152
"SK03","SK",19.53,NA,NA,2.9723288859,NA,1.51152
"SK04","SK",19.53,NA,NA,2.9723288859,NA,1.51152
