"NUTS2.Code","ISO2","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"DED4","DE",7.29,0,0,0.347375128205,0,0,0.29046,0,0,0,0,0,0,0
"DED5","DE",7.05,0,0,0.347375128205,0,0,0.29046,0,0,0,0,0,0,0
"DEE0","DE",7.17,0,0,0.347375128205,0,0,0.29046,0,0,0,0,0,0,0
"DEF0","DE",7.95,0,0,0.347375128205,0,0,0.29046,0,0,0,0,0,0,0
"DEG0","DE",9.3,0,0,0.347375128205,0,0,0.29046,0,0,0,0,0,0,0
"EL30","EL",16.71,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL41","EL",33,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL42","EL",28.32,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL43","EL",22.77,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL51","EL",19.17,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL52","EL",19.62,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL53","EL",11.58,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL54","EL",9.57,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL61","EL",11.88,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL62","EL",15.18,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL63","EL",15.9,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL64","EL",16.05,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"EL65","EL",11.61,0,0,1.907188605,0,0,0,0,0,0,0,0,0,0
"FR10","FR",11.49,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRB0","FR",11.34,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRC1","FR",17.28,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRC2","FR",15.78,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRD1","FR",11.31,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRD2","FR",11.46,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRE1","FR",11.97,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRE2","FR",11.97,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRF1","FR",15.78,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRF2","FR",16.47,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRF3","FR",17.16,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRG0","FR",11.1,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRH0","FR",11.13,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRI1","FR",11.82,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRI2","FR",11.49,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRI3","FR",11.19,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRJ1","FR",11.37,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRJ2","FR",10.89,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRK1","FR",12,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRK2","FR",11.55,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRL0","FR",19.11,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
"FRM0","FR",18.66,0,0,1.83902873817273,0,0,0.5217,0,0,0,0,0,0,0
